원표기	측정맥락	표준명	표준코드	CAS	IARC	유형	비유해	연관인자	매핑근거	신뢰도	사례수	측정건수
벤젠		벤젠	벤젠-067	71-43-2	Group 1				레지스트리 정확일치	R	149	258
포름알데히드		포름알데히드	포름알데-201	50-00-0	Group 1				레지스트리 정확일치	R	46	75
소음		소음(강렬한소음포함)	소음강렬-098						동의어사전→소음(강렬한소음포함)	R	45	92
톨루엔		톨루엔	톨루엔-191	108-88-3					레지스트리 정확일치	R	27	41
전리방사선		전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	16	24
방사선		전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	15	21
납		납 및 그 무기화합물	납및그무-034	7439-92-1	Group 2A				동의어사전→납 및 그 무기화합물	R	12	18
크롬		크롬 및 그 화합물	크롬및그-183	7440-47-3	Group 1				동의어사전→크롬 및 그 화합물	R	12	14
석면		석면 분진	석면분진-089	1332-21-4	Group 1				동의어사전→석면 분진	R	10	18
망간		망간 및 그 무기화합물	망간및그-050	7439-96-5					동의어사전→망간 및 그 무기화합물	R	10	12
분진		일반 분진	일반분진-160						동의어사전→일반 분진	R	10	12
용접흄		용접 흄	용접흄-145		Group 1				동의어사전→용접 흄	R	10	11
혼합유기용제		유기용제	유기용제-146						레지스트리 포함매칭	R	10	10
아세톤		아세톤	아세톤-118	67-64-1					레지스트리 정확일치	R	9	10
결정형 유리규산		결정형 유리규산	광물성분-012	14808-60-7	Group 1				레지스트리 정확일치	R	8	10
백석면		석면 분진	석면분진-089	1332-21-4	Group 1				동의어사전→석면 분진	R	7	8
니켈		니켈 및 그 무기화합물	니켈및그-037	7440-02-0	Group 1				동의어사전→니켈 및 그 무기화합물	R	7	7
스티렌		스티렌	스티렌-105	100-42-5	Group 2B				레지스트리 정확일치	R	7	7
크실렌		크실렌	크실렌-164	1330-20-7					레지스트리 정확일치	R	7	7
고무흄		고무제조산업(직업노출)	고무제조-014		Group 1				동의어사전→고무제조산업(직업노출)	R	5	9
극저주파 전자기장		극저주파 자기장	극저주파-023		Group 2B				별표22:극저주파 자기장	R	5	6
TCE		트리클로로에틸렌	트리클로-087	79-01-6	Group 1				동의어사전→트리클로로에틸렌	R	5	5
산화에틸렌		산화에틸렌	산화에틸-085	75-21-8	Group 1				레지스트리 정확일치	R	5	5
암모니아		암모니아	암모니아-128	7664-41-7					레지스트리 정확일치	R	5	5
극저주파 자기장		극저주파 자기장	극저주파-023		Group 2B				별표22:극저주파 자기장	R	4	10
1,3-부타디엔		1,3-부타디엔	13부타-001	106-99-0	Group 1				레지스트리 정확일치	R	4	6
IPA		이소프로필 알코올	이소프로-126	67-63-0					동의어사전→이소프로필 알코올	R	4	6
유기용제		유기용제	유기용제-146						레지스트리 정확일치	R	4	5
MEK		메틸 에틸 케톤	메틸에틸-054	78-93-3					동의어사전→메틸 에틸 케톤	R	4	4
금속가공유		금속가공유	금속가공-028						레지스트리 정확일치	R	4	4
이소프로필알콜		이소프로필 알코올	이소프로-126	67-63-0					동의어사전→이소프로필 알코올	R	4	4
비소		비소 및 그 무기화합물	비소및그-079	7440-38-2	Group 1				동의어사전→비소 및 그 무기화합물	R	3	7
디클로로메탄		디클로로메탄	디클로로-053	75-09-2	Group 2A				레지스트리 정확일치	R	3	4
총분진		일반 분진	일반분진-160						동의어사전→일반 분진	R	3	4
트리클로로에틸렌(TCE)	TCE	트리클로로에틸렌	트리클로-087	79-01-6	Group 1				레지스트리 정확일치	R	3	4
호흡성 분진		일반 분진	일반분진-160						동의어사전→일반 분진	R	3	4
xylene		크실렌	크실렌-164	1330-20-7					동의어사전→크실렌	R	3	3
오일미스트		미네랄 오일 미스트	미네랄오-059		Group 1				동의어사전→미네랄 오일 미스트	R	3	3
일산화탄소		일산화탄소	일산화탄-162	630-08-0					레지스트리 정확일치	R	3	3
황산		황산	황산-215	7664-93-9	Group 1				레지스트리 정확일치	R	3	3
호흡성 결정형 실리카		결정형 유리규산	광물성분-012	14808-60-7	Group 1				동의어사전→결정형 유리규산	R	2	10
고열(WBGT)	WBGT	고온 및 저온 환경	고온및저-015						동의어사전→고온 및 저온 환경	R	2	5
TCE(트리클로로에틸렌)	트리클로로에틸렌	트리클로로에틸렌	트리클로-087	79-01-6	Group 1				동의어사전→트리클로로에틸렌	R	2	4
디메틸포름아미드(DMF)	DMF	디메틸포름아미드	디메틸포-042	68-12-2					레지스트리 정확일치	R	2	4
수은 (혈중)	혈중	수은 및 그 화합물	수은및그-103	7439-97-6					동의어사전→수은 및 그 화합물	R	2	4
Benzene		벤젠	벤젠-067	71-43-2	Group 1				동의어사전→벤젠	R	2	3
극저주파자기장		극저주파 자기장	극저주파-023		Group 2B				별표22:극저주파 자기장	R	2	3
내독소		생물학적 인자	생물학적-088						동의어사전→생물학적 인자	R	2	3
산화철 분진		산화철	산화철-177	1309-37-1					레지스트리 포함매칭	R	2	3
알루미늄		알루미늄 및 그 화합물	알루미늄-124	7429-90-5					레지스트리 포함매칭	R	2	3
엔도톡신		생물학적 인자	생물학적-088						동의어사전→생물학적 인자	R	2	3
자기장		전자기장	전자기장-168		Group 2B				동의어사전→전자기장	R	2	3
카드뮴		카드뮴 및 그 화합물	카드뮴및-180	7440-43-9	Group 1				레지스트리 포함매칭	R	2	3
트리클로로에틸렌		트리클로로에틸렌	트리클로-087	79-01-6	Group 1				레지스트리 정확일치	R	2	3
1,1-디클로로-1-플루오로에탄		HCFC-141b				유기용제			정준명(레지스트리 외)	C	2	2
2-ethoxy ethyl acetate		2-에톡시에틸 아세테이트				유기용제			정준명(레지스트리 외)	C	2	2
PAH		다환방향족탄화수소	다환방향-039		Group 1				동의어사전→다환방향족탄화수소	R	2	2
TDI		디이소시아네이트류	디이소시-043						동의어사전→디이소시아네이트류	R	2	2
구리		구리	구리-018	7440-50-8					레지스트리 정확일치	R	2	2
라돈		라돈				물리적/방사성			정준명(레지스트리 외)	C	2	2
메틸에틸케톤		메틸 에틸 케톤	메틸에틸-054	78-93-3					레지스트리 정확일치	R	2	2
불산		불화수소	불화수소-073	7664-39-3					동의어사전→불화수소	R	2	2
